user_id,image_no,desktop_rating,gender,qualification,mobile_rating,age
u1,1,6,1,1,6,23
u2,1,6,0,2,5,58
u3,1,5,1,0,5,84
u4,1,5,1,0,8,47
u5,1,9,1,1,9,16
u6,1,10,1,1,5,16
u7,1,9,1,1,8,16
u8,1,8,1,1,5,15
u9,1,2,0,1,3,15
u10,1,6,0,1,7,16
u11,1,1,0,1,6,16
u12,1,1,0,1,3,16
u13,1,4,0,1,10,16
u14,1,5,0,1,5,16
u15,1,5,0,1,6,17
u16,1,6,1,1,10,15
u17,1,4,1,1,2,15
u18,1,4,1,1,8,15
u19,1,8,1,1,1,15
u20,1,3,1,1,8,16
u21,1,2,1,1,4,16
u22,1,1,1,1,10,15
u23,1,10,0,1,9,15
u24,1,8,0,1,10,16
u25,1,6,0,1,7,11
u26,1,8,0,1,8,16
u27,1,9,0,1,8,20
u28,1,9,0,1,10,18
u29,1,9,1,1,10,20
u30,1,7,0,1,8,20
u31,1,7,0,1,6,20
u32,1,5,0,1,4,18
u33,1,7,0,1,5,18
u34,1,7,1,1,6,15
u35,1,7,1,1,6,13
u36,1,2,0,1,2,8
u37,1,5,0,1,3,10
u38,1,9,0,1,5,10
u39,1,6,0,1,5,6
u40,1,7,0,1,7,60
u41,1,6,1,2,9,53
u42,1,3,1,2,4,55
u43,1,5,1,0,8,44
u44,1,8,1,0,6,47
u45,1,5,1,2,8,48
u46,1,5,1,2,6,48
u47,1,2,0,2,5,48
u48,1,6,1,0,6,38
u49,1,6,0,2,7,35
u50,1,5,1,0,6,32
u51,1,5,1,1,6,30
u52,1,7,1,1,5,26
u53,1,8,1,0,4,24
u54,1,3,0,1,8,24
u55,1,10,0,1,10,27
u56,1,9,1,1,10,27
u57,1,5,1,1,9,24
u58,1,7,1,1,8,22
u59,1,8,0,2,7,29
u60,1,7,0,1,8,23
u61,1,6,0,1,5,21
u62,1,7,0,1,8,22
u63,1,7,0,1,9,22
u64,1,7,0,1,7,21
u65,1,3,0,1,1,22
u66,1,5,0,1,6,24
u67,1,10,0,1,10,25
u68,1,4,0,1,2,21
u69,1,8,0,1,8,29
u70,1,8,0,1,10,22
u71,1,8,0,1,9,21
